2025年招生计划,,,,,,"2025年专业组
数据",,2025年专业录取数据,,2024年专业录取数据,,2023年专业录取数据,,院校基础信息,,,
科类,批次,院校名称,专业组名称,专业名称,选科要求,专业组最低分1,专业组最低位次1,最低分1,最低位次1,最低分2,最低位次2,最低分3,最低位次3,所在地区,"公办/民办
（全部性质）",层次,保研率
物理,本科批B段,北京大学,01专业组,数学类,化学,685,51,,,719,53,,,北京,公办,本科,65.1%
物理,本科批B段,北京大学,01专业组,工科试验班类,化学,685,51,,,,,,,北京,公办,本科,65.1%
物理,本科批B段,北京大学,01专业组,物理学类,化学,685,51,,,703,53,,,北京,公办,本科,65.1%
物理,本科批B段,北京大学,01专业组,电子信息类,化学,685,51,,,698,30,700,33,北京,公办,本科,65.1%
物理,本科批B段,北京大学,01专业组,计算机类,化学,685,51,,,698,30,702,26,北京,公办,本科,65.1%
物理,本科批B段,北京大学,01专业组,化学类,化学,685,51,,,699,25,,,北京,公办,本科,65.1%
物理,本科批B段,北京大学,01专业组,生物科学类,化学,685,51,,,697,36,,,北京,公办,本科,65.1%
物理,本科批B段,北京大学,01专业组,地球物理学类,化学,685,51,,,,,,,北京,公办,本科,65.1%
物理,本科批B段,北京大学,01专业组,环境科学,化学,685,51,,,,,,,北京,公办,本科,65.1%
物理,本科批B段,北京大学,01专业组,信息管理与信息系统,化学,685,51,,,,,,,北京,公办,本科,65.1%
物理,本科批B段,北京大学,01专业组,理科试验班类,化学,685,51,,,731,1,715,5,北京,公办,本科,65.1%
物理,本科批B段,北京大学,01专业组,理科试验班类,化学,685,51,,,,,,,北京,公办,本科,65.1%
历史,提前本科批D段,北京大学,01专业组,法语,不限,,,,,,,,,北京,公办,本科,65.1%
物理,本科批B段,北京大学,01专业组,理科试验班类,化学,685,51,,,,,,,北京,公办,本科,65.1%
历史,提前本科批D段,北京大学,01专业组,日语,不限,,,,,,,,,北京,公办,本科,65.1%
历史,提前本科批D段,北京大学,01专业组,印地语,不限,,,,,,,,,北京,公办,本科,65.1%
物理,本科批B段,北京大学,02专业组(国家专项计划),城乡规划,不限,,,,,,,,,北京,公办,本科,65.1%
物理,本科批B段,北京大学,02专业组(国家专项计划),心理学类,不限,,,,,674,225,,,北京,公办,本科,65.1%
历史,提前本科批D段,北京大学,02专业组,马克思主义理论类,政治,,,,,,,,,北京,公办,本科,65.1%
