2026云南省（春季高考）招生院校完整名单,,
序号,院校, 分数
1,云南国防工业职业技术学院,517
2,昆明冶金高等专科学校,528
3,云南工贸职业技术学院,430
4,临沧职业学院,377
5,红河卫生职业学院,513
6,楚雄医药高等专科学校,524
7,香格里拉职业学院,381
8,昭通卫生职业学院,509
9,云南交通运输职业学院,436
10,保山中医药高等专科学校,515
11,云南交通职业技术学院,520
12,丽江职业技术学院,387
13,云南现代职业技术学院,427
14,云南能源职业技术学院,425
15,云南轻纺职业学院,420
16,云南特殊教育职业学院,476
17,云南锡业职业技术学院,417
18,云南工业信息职业学院,482
19,保山职业学院,400
20,大理护理职业学院,487
21,德宏职业学院,398
22,怒江职业技术学院,392
23,文山职业技术学院,396
24,昭通职业学院,405
25,曲靖职业技术学院,422
26,玉溪农业职业技术学院,451
27,玉溪职业技术学院,411
28,红河职业技术学院,409
29,西双版纳职业技术学院,444
30,云南体育运动职业技术学院,471
31,云南农业职业技术学院,455
32,云南国土资源职业学院,505
33,云南旅游职业学院,417
34,云南文化艺术职业学院,413
35,云南机电职业技术学院,501
36,云南林业职业技术学院,459
37,云南水利水电职业学院,496
38,云南财经职业学院,466
39,昆明工业职业技术学院,469
40,昆明幼儿师范高等专科学校,515
41,昆明铁道职业技术学院,535
42,大理农林职业技术学院,447
43,云南三鑫职业技术学院,375
44,云南医药健康职业学院,270
45,云南商务职业学院,311
46,云南城市建设职业学院,315
47,云南外事外语职业学院,280
48,云南工程职业学院,355
49,云南理工职业学院,366
50,云南科技信息职业学院,327
51,云南经贸外事职业学院,335
52,昆明卫生职业学院,371
53,昆明艺术职业学院,345
54,昆明航空职业学院,300
55,云南新兴职业学院,290
56,塔里木职业技术学院,490
57,新疆生产建设兵团兴新职业技术学院,482
58,铁门关职业技术学院,500
59,重庆城市管理职业学院,505
60,长沙民政职业学院,503
61,上海交通职业技术学院,490
62,上海工艺美术职业学院,485
