2026云南省春季高考招生院校、专业及预测分数,,,,
院校,专业,,,
保山中医药高等专科学校,中医学,,,
保山中医药高等专科学校,针灸推拿,,,
保山中医药高等专科学校,中医骨伤,,,
保山中医药高等专科学校,中医养生保健,,,
保山中医药高等专科学校,中医康复技术,,,
保山中医药高等专科学校,中药学,,,
保山中医药高等专科学校,药学,,,
保山中医药高等专科学校,药品生产技术,,,
保山中医药高等专科学校,临床医学,,,
保山中医药高等专科学校,口腔医学技术,,,
保山中医药高等专科学校,康复治疗技术,,,
保山中医药高等专科学校,医学影像技术,,,
保山中医药高等专科学校,医学检验技术,,,
保山中医药高等专科学校,健康管理,,,
保山中医药高等专科学校,医学营养,,,
保山中医药高等专科学校,护理,,,
保山中医药高等专科学校,老年保健与管理,,,
保山中医药高等专科学校,助产,,,
保山中医药高等专科学校,医学美容技术,,,
保山中医药高等专科学校,生殖健康管理,,,
保山中医药高等专科学校,公共卫生管理,,,
保山中医药高等专科学校,预防医学,,,
保山中医药高等专科学校,体育保健与康复,,,
大理护理职业学院,护理,,,
大理护理职业学院,助产,,,
大理护理职业学院,针灸推拿,,,
大理护理职业学院,健康管理,,,
大理护理职业学院,老年保健与管理,,,
大理护理职业学院,智慧健康养老服务与管理,,,
大理护理职业学院,中药学,,,
大理护理职业学院,中医康复技术,,,
大理护理职业学院,中医养生保健,,,
大理护理职业学院,康复治疗技术,,,
大理护理职业学院,医学检验技术,,,
大理护理职业学院,医学影像技术,,,
大理护理职业学院,卫生检验与检疫技术,,,
大理护理职业学院,眼视光技术,,,
大理护理职业学院,视觉训练与康复,,,
大理护理职业学院,药学,,,
昭通卫生职业学院,眼视光技术,,,
昭通卫生职业学院,医学美容技术,,,
昭通卫生职业学院,口腔医学技术,,,
昭通卫生职业学院,药品质量与安全,,,
昭通卫生职业学院,公共卫生管理,,,
昭通卫生职业学院,中医养生保健,,,
昭通卫生职业学院,中医康复技术,,,
昭通卫生职业学院,婴幼儿托育服务与管理,,,
昭通卫生职业学院,药品经营与管理,,,
昭通卫生职业学院,老年保健与管理,,,
楚雄医药高等专科学校,临床医学,,,
楚雄医药高等专科学校,预防医学,,,
楚雄医药高等专科学校,中药学,,,
楚雄医药高等专科学校,药品经营与管理,,,
楚雄医药高等专科学校,药品生产技术,,,
楚雄医药高等专科学校,护理,,,
