26年春季考试招生计划及分数参考,,
院校名称,专业名称,最低分
昆明铁道职业技术学院,工程测量技术,502.27
昆明铁道职业技术学院,智能焊接技术,516.82
昆明铁道职业技术学院,制冷与空调技术,474.09
昆明铁道职业技术学院,智能控制技术,509.09
昆明铁道职业技术学院,铁道机车车辆制造与维护,530.91
昆明铁道职业技术学院,铁道工程技术,526.82
昆明铁道职业技术学院,铁道机车运用与维护,522.27
昆明铁道职业技术学院,铁道车辆技术,525.45
昆明铁道职业技术学院,动车组检修技术,525.45
昆明铁道职业技术学院,铁道信号自动控制,521.36
昆明铁道职业技术学院,铁道通信与信息化技术,516.82
昆明铁道职业技术学院,铁道交通运营管理,520
昆明铁道职业技术学院,铁道养路机械应用技术,520.45
昆明铁道职业技术学院,铁道供电技术,521.36
昆明铁道职业技术学院,城市轨道车辆应用技术,499.09
昆明铁道职业技术学院,城市轨道交通机电技术,515
昆明铁道职业技术学院,城市轨道交通运营管理,509.09
昆明铁道职业技术学院,大数据技术,505.45
昆明铁道职业技术学院,现代通信技术,486.36
昆明铁道职业技术学院,智能互联网络技术,470.45
昆明铁道职业技术学院,电信服务与管理,454.09
昆明铁道职业技术学院,铁路物流管理,480.45
昆明铁道职业技术学院,智能物流技术,484.55
楚雄医药高等专科学校,临床医学,567
楚雄医药高等专科学校,预防医学,561
楚雄医药高等专科学校,药学,523
楚雄医药高等专科学校,中药学,507
楚雄医药高等专科学校,药品经营与管理,498
楚雄医药高等专科学校,药品生产技术,500
楚雄医药高等专科学校,护理,509
楚雄医药高等专科学校,助产,497
楚雄医药高等专科学校,医学美容技术,483
楚雄医药高等专科学校,医学检验技术,502
楚雄医药高等专科学校,卫生检验与检疫技术,504
楚雄医药高等专科学校,医疗器械经营与服务,488
楚雄医药高等专科学校,医学影像技术,503
楚雄医药高等专科学校,中医学,554
楚雄医药高等专科学校,中医养生保健,507
楚雄医药高等专科学校,针灸推拿,506
楚雄医药高等专科学校,康复治疗技术,491
楚雄医药高等专科学校,健康管理,485
楚雄医药高等专科学校,老年保健与管理,479
楚雄医药高等专科学校,保健食品质量与管理,482
楚雄医药高等专科学校,医学营养,490
楚雄医药高等专科学校,食品质量与安全,473
云南交通职业技术学院,道路养护与管理,518
云南交通职业技术学院,建筑材料工程技术,507
云南交通职业技术学院,智能工程机械运用技术,522
云南交通职业技术学院,工业机器人技术,511
云南交通职业技术学院,智能制造装备技术,519
云南交通职业技术学院,大数据技术,507
云南交通职业技术学院,物联网应用技术,516
云南交通职业技术学院,智能交通技术,523
云南交通职业技术学院,智能物流技术,497
云南交通职业技术学院,空中乘务,508
云南交通职业技术学院,民航安全技术管理,503
云南交通职业技术学院,网络营销与直播电商,492
云南交通职业技术学院,商务英语,487
云南交通职业技术学院,应用泰语,475
云南交通职业技术学院,土木工程检测技术,487
云南交通职业技术学院,道路养护与管理,516
云南交通职业技术学院,建筑材料工程技术,508
云南交通职业技术学院,智能工程机械运用技术,511
云南交通职业技术学院,建筑材料工程技术,506
云南交通职业技术学院,智能工程机械运用技术,503
云南交通职业技术学院,工业机器人技术,514
云南交通职业技术学院,智能制造装备技术,516
云南交通职业技术学院,大数据技术,489
云南交通职业技术学院,物联网应用技术,500
云南交通职业技术学院,分析化验技术,485
云南交通职业技术学院,嵌入式技术应用,499
云南交通职业技术学院,智能物流技术,492
云南交通职业技术学院,空中乘务,483
云南交通职业技术学院,民航安全技术管理,517
云南交通职业技术学院,网络营销与直播电商,501
云南交通职业技术学院,工程造价,483
云南交通职业技术学院,安全技术管理,491
云南交通职业技术学院,分析检验技术,488
云南交通职业技术学院,储能材料技术,4765
昆明冶金职业大学,矿山智能开采技术,526
昆明冶金职业大学,矿物加工技术,524
昆明冶金职业大学,钢铁智能冶金技术,525
昆明冶金职业大学,有色金属智能冶金技术,529
昆明冶金职业大学,金属智能加工技术,518
昆明冶金职业大学,储能材料技术,506
昆明冶金职业大学,材料成型及控制技术,501
昆明冶金职业大学,测绘工程技术,507
昆明冶金职业大学,测绘地理信息技术,505
昆明冶金职业大学,摄影测量与遥感技术,502
昆明冶金职业大学,无人机应用技术,506
昆明冶金职业大学,测绘工程技术(中外合作办学)(中白),475
昆明冶金职业大学,电力系统自动化技术,522
昆明冶金职业大学,数控技术,517
昆明冶金职业大学,机械制造及自动化,522
昆明冶金职业大学,机电一体化技术,536
昆明冶金职业大学,工业机器人技术,521
昆明冶金职业大学,电气自动化技术,529
昆明冶金职业大学,智能网联汽车技术,513
昆明冶金职业大学,机电一体化技术（中外合作办学)(中加),477
昆明冶金职业大学,建筑材料工程技术,503
昆明冶金职业大学,硅材料制备技术,507
昆明冶金职业大学,智能建造技术,506
昆明冶金职业大学,建筑智能化工程技术,512
昆明冶金职业大学,建筑装饰工程技术,504
昆明冶金职业大学,建设工程管理,501
昆明冶金职业大学,环境工程技术,506
