2026云南省职教高考招生院校、专业及专业大类,,,



院校,专业,专业大类,分数
云南国防工业职业技术学院,新能源汽车技术,交通运输类,445







































































































云南工贸职业技术学院,汽车检测与维修技术,交通运输类,395
云南工贸职业技术学院,新能源汽车技术,交通运输类,390
云南工贸职业技术学院,新能源汽车检测与维修技术,交通运输类,385











云南工业信息职业学院,新能源汽车技术,交通运输类,385




















临沧职业学院,新能源汽车技术,交通运输类,355









































香格里拉职业学院,新能源汽车检测与维修技术,交通运输类,340





















云南交通运输职业学院,新能源汽车技术,交通运输类,375

云南交通运输职业学院,新能源汽车检测与维修技术,交通运输类,370
云南交通运输职业学院,汽车造型与改装技术,交通运输类,365






云南交通运输职业学院,航海技术,交通运输类,380
云南交通运输职业学院,轮机工程技术,交通运输类,385

云南交通运输职业学院,港口与航运管理,交通运输类,390
云南交通运输职业学院,国际邮轮乘务管理,交通运输类,380
云南交通运输职业学院,飞机机电设备维修,交通运输类,395

云南交通运输职业学院,通用航空器维修,交通运输类,375
云南交通运输职业学院,民航运输服务,交通运输类,365


云南交通运输职业学院,汽车智能技术,交通运输类,380

云南交通运输职业学院,智能交通技术,交通运输类,390
云南交通运输职业学院,智能网联汽车技术,交通运输类,390
云南交通运输职业学院,城市轨道交通运营管理,交通运输类,375


























云南交通职业技术学院,新能源汽车技术,交通运输类,425
云南交通职业技术学院,智能网联汽车技术,交通运输类,430

云南交通职业技术学院,汽车检测与维修技术,交通运输类,435








云南交通职业技术学院,智能交通技术（中外）,交通运输类,400


云南交通职业技术学院,智能物流技术,交通运输类,425
云南交通职业技术学院,空中乘务,交通运输类,410
云南交通职业技术学院,民航安全技术管理,交通运输类,425










丽江职业技术学院,新能源汽车技术,交通运输类,375
丽江职业技术学院,新能源汽车检测与维修技术,交通运输类,370


















云南现代职业技术学院,智能网联汽车技术,交通运输类,370

云南现代职业技术学院,新能源汽车检测与维修技术,交通运输类,365
云南现代职业技术学院,民航安全技术管理,交通运输类,360
































云南能源职业技术学院,新能源汽车技术,交通运输类,360










云南能源职业技术学院,冷链物流技术与管理,交通运输类,355























云南轻纺职业学院,新能源汽车技术,交通运输类,370



















云南锡业职业技术学院,新能源汽车技术,交通运输类,380





























保山职业学院,新能源汽车技术,交通运输类,350


































德宏职业学院,新能源汽车技术,交通运输类,355






怒江职业技术学院,新能源汽车检测与维修技术,交通运输类,350











文山职业技术学院,新能源汽车技术,交通运输类,375











昭通职业学院,新能源汽车技术,交通运输类,395











曲靖职业技术学院,汽车检测与维修技术,交通运输类,400











































玉溪职业技术学院,新能源汽车检测与维修技术,交通运输类,405
玉溪职业技术学院,智能网联汽车技术,交通运输类,400



















红河职业技术学院,城市轨道交通运营管理(高铁),交通运输类,385







红河职业技术学院,新能源汽车检测与维修技术,交通运输类,380







红河职业技术学院,智能交通技术,交通运输类,385

红河职业技术学院,智能物流技术,交通运输类,390









西双版纳职业技术学院,新能源汽车技术,交通运输类,380































云南体育运动职业技术学院,飞行器维修技术,交通运输类,410
















云南农业职业技术学院,冷链物流技术与管理,交通运输类,400



云南农业职业技术学院,汽车检测与维修技术,交通运输类,405














云南国土资源职业学院,汽车电子技术,交通运输类,435





























云南旅游职业学院,国际邮轮乘务管理,交通运输类,380



















云南旅游职业学院,空中乘务,交通运输类,375






















云南文化艺术职业学院,空中乘务,交通运输类,385





























云南机电职业技术学院,飞机机电设备维修,交通运输类,415
云南机电职业技术学院,飞机部件修理,交通运输类,420
云南机电职业技术学院,飞机机载设备装配调试技术,交通运输类,425







云南机电职业技术学院,民航运输服务,交通运输类,420


云南机电职业技术学院,汽车电子技术,交通运输类,430




























云南林业职业技术学院,道路与桥梁工程技术,交通运输类,395

云南林业职业技术学院,汽车检测与维修技术,交通运输类,390

云南林业职业技术学院,汽车电子技术,交通运输类,385





































































































































昆明工业职业技术学院,新能源汽车技术,交通运输类,395
昆明工业职业技术学院,汽车检测与维修技术,交通运输类,390



























































大理农林职业技术学院,汽车检测与维修技术,交通运输类,380


大理农林职业技术学院,新能源汽车技术,交通运输类,375






















云南三鑫职业技术学院,新能源汽车检测与维修技术,交通运输类,326
云南三鑫职业技术学院,城市轨道交通运营管理,交通运输类,326




云南三鑫职业技术学院,智能网联汽车技术,交通运输类,326

云南三鑫职业技术学院,空中乘务,交通运输类,326













































云南商务职业学院,空中乘务,交通运输类,326


