2026云南省职教高考招生院校、专业及专业大类,,,


















院校,专业,专业大类,分数
大理护理职业学院,针灸推拿,医学类,425




大理护理职业学院,中医康复技术,医学类,420
大理护理职业学院,中医养生保健,医学类,415
大理护理职业学院,康复治疗技术,医学类,420
大理护理职业学院,医学检验技术,医学类,420
大理护理职业学院,医学影像技术,医学类,415
大理护理职业学院,卫生检验与检疫技术,医学类,425
大理护理职业学院,眼视光技术,医学类,415
大理护理职业学院,视觉训练与康复,医学类,410











































































云南工贸职业技术学院,社区康复,医学类,380
































临沧职业学院,中医康复技术,医学类,365





红河卫生职业学院,临床医学,医学类,475
红河卫生职业学院,预防医学,医学类,470
红河卫生职业学院,康复治疗技术,医学类,455
红河卫生职业学院,医学检验技术,医学类,450
红河卫生职业学院,眼视光技术,医学类,460




红河卫生职业学院,中医学,医学类,455
红河卫生职业学院,针灸推拿,医学类,450
红河卫生职业学院,医学美容技术,医学类,445
红河卫生职业学院,中医养生保健,医学类,445
红河卫生职业学院,口腔医学,医学类,475
红河卫生职业学院,口腔医学技术,医学类,440
红河卫生职业学院,口腔卫生保健,医学类,445

红河卫生职业学院,体育保健与康复,医学类,440




楚雄医药高等专科学校,医学美容技术,医学类,455
楚雄医药高等专科学校,医学检验技术,医学类,450
楚雄医药高等专科学校,中医养生保健,医学类,445
楚雄医药高等专科学校,康复治疗技术,医学类,455



楚雄医药高等专科学校,医学营养,医学类,445



香格里拉职业学院,康复治疗技术,医学类,365








昭通卫生职业学院,医学检验技术,医学类,450
昭通卫生职业学院,康复治疗技术,医学类,455
昭通卫生职业学院,医学影像技术,医学类,455
昭通卫生职业学院,眼视光技术,医学类,445
昭通卫生职业学院,医学美容技术,医学类,455
昭通卫生职业学院,中医学,医学类,455
昭通卫生职业学院,针灸推拿,医学类,453
昭通卫生职业学院,口腔医学技术,医学类,440




昭通卫生职业学院,预防医学,医学类,470
昭通卫生职业学院,中医养生保健,医学类,450
昭通卫生职业学院,中医康复技术,医学类,460





































保山中医药高等专科学校,中医学,医学类,470
保山中医药高等专科学校,针灸推拿,医学类,465
保山中医药高等专科学校,中医骨伤,医学类,470
保山中医药高等专科学校,中医康复技术,医学类,455


保山中医药高等专科学校,医学影像技术,医学类,455
保山中医药高等专科学校,医学检验技术,医学类,456



保山中医药高等专科学校,康复治疗技术,医学类,440






































丽江职业技术学院,中医养生保健,医学类,380




























云南现代职业技术学院,康复治疗技术,医学类,385

















































































































