2026云南省职教高考招生院校、专业及专业大类,,,

















































院校,专业,专业大类,分数
昆明冶金高等专科学校,建筑材料工程技术,建筑工程类,435
昆明冶金高等专科学校,建筑装饰工程技术,建筑工程类,440

昆明冶金高等专科学校,给排水工程技术,建筑工程类,430






















昆明冶金高等专科学校,现代物业管理,建筑工程类,430
昆明冶金高等专科学校,道路与桥梁工程技术,建筑工程类,445
昆明冶金高等专科学校,工程造价,建筑工程类,445

































云南工贸职业技术学院,建筑装饰工程技术,建筑工程类,390
云南工贸职业技术学院,建筑工程技术,建筑工程类,395

































































































云南交通运输职业学院,道路养护与管理,建筑工程类,380

云南交通运输职业学院,工程造价,建筑工程类,385
云南交通运输职业学院,土木工程检测技术,建筑工程类,390
云南交通运输职业学院,道路与桥梁工程技术,建筑工程类,375




































云南交通职业技术学院,土木工程检测技术,建筑工程类,435
云南交通职业技术学院,道路养护与管理,建筑工程类,440
云南交通职业技术学院,建筑材料工程技术（中外合作办学）,建筑工程类,410

云南交通职业技术学院,工程造价,建筑工程类,440

云南交通职业技术学院,智能建造技术,建筑工程类,430






























































云南现代职业技术学院,建筑工程技术,建筑工程类,375
云南现代职业技术学院,智能建造技术,建筑工程类,370


云南能源职业技术学院,工程测量技术,建筑工程类,370
云南能源职业技术学院,测绘地理信息技术,建筑工程类,365



云南能源职业技术学院,建筑工程技术,建筑工程类,360
























云南能源职业技术学院,建筑室内设计,建筑工程类,370



























云南轻纺职业学院,建筑室内设计,建筑工程类,380
















云南锡业职业技术学院,道路与桥梁工程技术,建筑工程类,385

云南锡业职业技术学院,工程测量技术,建筑工程类,380
云南锡业职业技术学院,工程造价,建筑工程类,375
云南锡业职业技术学院,建筑工程技术,建筑工程类,390
云南锡业职业技术学院,建筑消防技术,建筑工程类,380


















































德宏职业学院,土木工程检测技术,建筑工程类,360
德宏职业学院,建设工程管理,建筑工程类,365






怒江职业技术学院,建筑工程技术,建筑工程类,330





















昭通职业学院,建筑工程技术,建筑工程类,335












































玉溪农业职业技术学院,建筑室内设计,建筑工程类,355
玉溪农业职业技术学院,工程造价,建筑工程类,350



















玉溪职业技术学院,智能建造技术,建筑工程类,345
















