2026云南省职教高考招生院校、专业及专业大类,,,










院校,专业,专业大类,分数
云南国防工业职业技术学院,应用泰语,教育类,445



























































昆明冶金高等专科学校,应用英语,教育类,440




















































丽江师范学院,小学教育,教育类,505


丽江师范学院,英语,教育类,500
丽江师范学院,体育教育,教育类,503



















































香格里拉职业学院,现代文秘,教育类,395



































































































云南交通职业技术学院,商务英语,教育类,440
云南交通职业技术学院,应用泰语,教育类,435


































云南现代职业技术学院,学前教育,教育类,405









































云南能源职业技术学院,社区管理与服务,教育类,415
云南能源职业技术学院,人力资源管理,教育类,420
云南能源职业技术学院,现代文秘,教育类,410





































































































德宏职业学院,学前教育,教育类,400








文山职业技术学院,学前教育,教育类,395
















昭通职业学院,学前教育,教育类,395




















































玉溪农业职业技术学院,现代文秘,教育类,400






















红河职业技术学院,学前教育,教育类,390




























西双版纳职业技术学院,学前教育,教育类,390
西双版纳职业技术学院,早期教育,教育类,385
西双版纳职业技术学院,小学教育,教育类,395














































































































云南旅游职业学院,应用泰语,教育类,400
云南旅游职业学院,应用日语,教育类,395
云南旅游职业学院,小学英语教育,教育类,390












云南旅游职业学院,音乐教育,教育类,395


































云南文化艺术职业学院,舞蹈教育,教育类,380
云南文化艺术职业学院,学前教育,教育类,385

云南文化艺术职业学院,艺术教育,教育类,385



云南文化艺术职业学院,早期教育,教育类,375









































































