2026云南省职教高考招生院校、专业及专业大类,,,








院校,专业,专业大类,分数
云南国防工业职业技术学院,旅游管理,旅游类,415
云南国防工业职业技术学院,酒店管理与数字化运营,旅游类,355


























































昆明冶金高等专科学校,旅游管理,旅游类,410




























































丽江师范学院,酒店管理与数字化运营,旅游类,455


















































香格里拉职业学院,旅游管理,旅游类,335
香格里拉职业学院,酒店管理与数字化运营,旅游类,340























云南交通运输职业学院,汽车技术服务与营销,旅游类,350






























云南交通运输职业学院,休闲服务与管理,旅游类,355

云南交通运输职业学院,酒店管理与数字化运营,旅游类,340



















































丽江职业技术学院,民宿管理与运营,旅游类,340
丽江职业技术学院,研学旅行管理与服务,旅游类,345


















云南现代职业技术学院,酒店管理与数字化运营,旅游类,350



































云南能源职业技术学院,餐饮智能管理,旅游类,365











































云南轻纺职业学院,酒店管理与数字化运营,旅游类,360






























保山职业学院,酒店管理与数字化运营,旅游类,365































德宏职业学院,旅游管理,旅游类,355











怒江职业技术学院,旅游管理,旅游类,350


















文山职业技术学院,酒店管理与数字化运营,旅游类,350
















曲靖职业技术学院,旅游管理,旅游类,370


























































玉溪职业技术学院,旅游管理,旅游类,370


























红河职业技术学院,民宿管理与运营,旅游类,365













西双版纳职业技术学院,酒店管理与数字化运营,旅游类,350
西双版纳职业技术学院,旅游管理,旅游类,350

























云南体育运动职业技术学院,高尔夫球运动与管理,旅游类,380





云南体育运动职业技术学院,休闲服务与管理,旅游类,375











云南农业职业技术学院,酒店管理与数字化运营,旅游类,360




































云南国土资源职业学院,旅游管理,旅游类,400
云南国土资源职业学院,酒店管理与数字化运营,旅游类,405
云南国土资源职业学院,休闲服务与管理,旅游类,395

云南旅游职业学院,导游,旅游类,380
云南旅游职业学院,旅游管理,旅游类,390
云南旅游职业学院,智慧景区开发与管理,旅游类,385
云南旅游职业学院,研学旅行管理与服务,旅游类,375
云南旅游职业学院,智慧旅游技术应用,旅游类,380
云南旅游职业学院,会展策划与管理,旅游类,400
云南旅游职业学院,酒店管理与数字化运营,旅游类,390
云南旅游职业学院,茶艺与茶文化,旅游类,400
云南旅游职业学院,婚庆服务与管理,旅游类,395

云南旅游职业学院,民宿管理与运营,旅游类,390
云南旅游职业学院,休闲服务与管理,旅游类,380




云南旅游职业学院,餐饮智能管理,旅游类,380
云南旅游职业学院,旅游英语,旅游类,375




























云南文化艺术职业学院,导游,旅游类,355


云南文化艺术职业学院,酒店管理与数字化运营,旅游类,350



云南文化艺术职业学院,旅游管理,旅游类,355














