2026云南省职教高考招生院校、专业及专业大类,,,

院校,专业,专业大类,分数
云南国防工业职业技术学院,数控技术,机械类,465


云南国防工业职业技术学院,智能焊接技术,机械类,460



























昆明冶金高等专科学校,钢铁智能冶金技术,机械类,475
昆明冶金高等专科学校,金属智能加工技术,机械类,480
昆明冶金高等专科学校,材料成型及控制技术,机械类,478
昆明冶金高等专科学校,储能材料技术,机械类,470





昆明冶金高等专科学校,数控技术,机械类,465
昆明冶金高等专科学校,机电设备技术,机械类,475

昆明冶金高等专科学校,机械制造及自动化(中外合作办学)(中德）,机械类,430


昆明冶金高等专科学校,智能网联汽车技术,机械类,460





































云南工贸职业技术学院,数控技术,机械类,400



云南工贸职业技术学院,机械制造及自动化,机械类,405


























云南工业信息职业学院,机械制造及自动化,机械类,410

云南工业信息职业学院,数控技术,机械类,415

云南工业信息职业学院,数字化设计与制造技术,机械类,395

云南工业信息职业学院,智能焊接技术,机械类,415

















临沧职业学院,智能制造装备技术,机械类,375


































































云南交通运输职业学院,汽车制造与试验技术,机械类,395



云南交通运输职业学院,道路机械化施工技术,机械类,390



云南交通运输职业学院,智能工程机械运用技术,机械类,385









云南交通运输职业学院,飞行器数字化制造技术,机械类,380


































云南交通职业技术学院,汽车制造与试验技术,机械类,460


云南交通职业技术学院,智能工程机械运用技术,机械类,465
云南交通职业技术学院,智能制造装备技术,机械类,470



















丽江职业技术学院,智能制造装备技术,机械类,390












云南现代职业技术学院,数控技术,机械类,420
云南现代职业技术学院,智能焊接技术,机械类,425
云南现代职业技术学院,智能制造装备技术,机械类,426





云南现代职业技术学院,汽车制造与试验技术,机械类,430
































云南能源职业技术学院,机械制造及自动化,机械类,440
云南能源职业技术学院,机电一体化技术,机械类,435
云南能源职业技术学院,工业机器人技术,机械类,430



云南能源职业技术学院,数控技术,机械类,437






























云南轻纺职业学院,机电设备技术,机械类,420




















云南锡业职业技术学院,机械制造及自动化,机械类,410

云南锡业职业技术学院,汽车制造与试验技术,机械类,405



























保山职业学院,智能机电技术,机械类,380




保山职业学院,数字化设计与制造技术,机械类,375

























































昭通职业学院,智能制造装备技术,机械类,370

























































玉溪职业技术学院,数字化设计与制造技术,机械类,385










































红河职业技术学院,智能制造装备技术,机械类,375










































































云南国土资源职业学院,数控技术,机械类,440












































































云南文化艺术职业学院,汽车制造与试验技术,机械类,445






























云南机电职业技术学院,机电设备技术,机械类,465






云南机电职业技术学院,模具设计与制造,机械类,460


云南机电职业技术学院,汽车制造与试验技术,机械类,445





云南机电职业技术学院,数控技术,机械类,440

















云南林业职业技术学院,木业产品设计与制造,机械类,405


云南林业职业技术学院,家具设计与制造,机械类,410



云南林业职业技术学院,新能源汽车检测与维修技术,机械类,415

































































































昆明工业职业技术学院,数控技术,机械类,430
昆明工业职业技术学院,机电设备技术,机械类,440
昆明工业职业技术学院,智能焊接技术,机械类,420
昆明工业职业技术学院,机械制造及自动化,机械类,445
昆明工业职业技术学院,数字化设计与制造技术,机械类,425










昆明工业职业技术学院,金属智能加工技术,机械类,420




















昆明工业职业技术学院,汽车制造与试验技术,机械类,435



























昆明铁道职业技术学院,智能焊接技术,机械类,465
昆明铁道职业技术学院,制冷与空调技术,机械类,460
昆明铁道职业技术学院,智能控制技术,机械类,475
昆明铁道职业技术学院,铁道机车车辆制造与维护,机械类,480
昆明铁道职业技术学院,铁道养路机械应用技术,机械类,485






















































云南三鑫职业技术学院,汽车制造与试验技术,机械类,291
















































































































































































云南理工职业学院,机电设备技术,机械类,291
云南理工职业学院,电梯工程技术,机械类,291
云南理工职业学院,工业机器人技术,机械类,291
云南理工职业学院,无人机应用技术,机械类,291
云南理工职业学院,新能源汽车技术,机械类,291
云南理工职业学院,智能网联汽车技术,机械类,291



























云南科技信息职业学院,数控技术,机械类,291



































云南经贸外事职业学院,汽车制造与试验技术,机械类,291



































































































昆明理工大学,焊接技术与工程,机械类,545






























德宏师范学院,汽车检测与维修技术,机械类,535
























































昆明理工大学津桥学院,汽车服务工程,机械类,495


























云南经济管理学院,智能制造工程,机械类,495
















云南经济管理学院,新能源汽车技术,机械类,500










云南工商学院,机械电子工程,机械类,485
云南工商学院,车辆工程,机械类,490














云南工商学院,机械设计制造及其自动化,机械类,482
