2026云南省职教高考招生院校、专业及专业大类,,,



院校,专业,专业大类,分数
云南国防工业职业技术学院,电气自动化技术,电工技术类,405












云南国防工业职业技术学院,智能产品开发与应用,电工技术类,390
























昆明冶金高等专科学校,工业机器人技术,电工技术类,420


昆明冶金高等专科学校,城市轨道交通机电技术,电工技术类,430

昆明冶金高等专科学校,电气自动化技术(中外合作办学)(中德）,电工技术类,410
昆明冶金高等专科学校,机电一体化技术(中外合作办学)(中加),电工技术类,400

昆明冶金高等专科学校,硅材料制备技术,电工技术类,435



































云南工贸职业技术学院,智能产品开发与应用,电工技术类,300

云南工贸职业技术学院,工业机器人技术,电工技术类,300
云南工贸职业技术学院,机电一体化技术,电工技术类,305
云南工贸职业技术学院,电气自动化技术,电工技术类,310

























云南工业信息职业学院,电气自动化技术,电工技术类,275
云南工业信息职业学院,工业机器人技术,电工技术类,265



云南工业信息职业学院,机电一体化技术,电工技术类,270





















临沧职业学院,机电一体化技术,电工技术类,265
















































































云南交通运输职业学院,无人机应用技术,电工技术类,270










































云南交通职业技术学院,工业机器人技术,电工技术类,405
云南交通职业技术学院,无人机应用技术,电工技术类,415

































云南现代职业技术学院,机电一体化技术,电工技术类,295
云南现代职业技术学院,电气自动化技术,电工技术类,300






























云南能源职业技术学院,新能源装备技术,电工技术类,360
云南能源职业技术学院,发电厂及电力系统,电工技术类,355
云南能源职业技术学院,电力系统自动化技术,电工技术类,360
云南能源职业技术学院,供用电技术,电工技术类,355
云南能源职业技术学院,风力发电工程技术,电工技术类,360




云南能源职业技术学院,电气自动化技术,电工技术类,365

云南能源职业技术学院,光伏工程技术,电工技术类,355





























云南轻纺职业学院,工业机器人技术,电工技术类,330
云南轻纺职业学院,智能控制技术,电工技术类,335

云南轻纺职业学院,机电一体化技术,电工技术类,340
















云南锡业职业技术学院,电气自动化技术,电工技术类,295
云南锡业职业技术学院,供用电技术,电工技术类,285
云南锡业职业技术学院,机电一体化技术,电工技术类,290








































































怒江职业技术学院,供用电技术,电工技术类,260



文山职业技术学院,无人机应用技术,电工技术类,260
文山职业技术学院,工业过程自动化技术,电工技术类,265
文山职业技术学院,机电一体化技术,电工技术类,270



















昭通职业学院,供用电技术,电工技术类,270





































玉溪农业职业技术学院,无人机应用技术,电工技术类,320








玉溪农业职业技术学院,农业电气化技术,电工技术类,310




玉溪职业技术学院,电气自动化技术,电工技术类,280

玉溪职业技术学院,智能控制技术,电工技术类,270

















红河职业技术学院,应用电子技术,电工技术类,270





红河职业技术学院,机电一体化技术,电工技术类,275























西双版纳职业技术学院,供用电技术,电工技术类,285
































云南体育运动职业技术学院,无人机应用技术,电工技术类,250





































云南国土资源职业学院,工业机器人技术,电工技术类,380
云南国土资源职业学院,智能控制技术,电工技术类,390






























































云南旅游职业学院,无人机应用技术,电工技术类,330




















云南文化艺术职业学院,无人机应用技术,电工技术类,260













云南机电职业技术学院,电力系统继电保护技术,电工技术类,420
云南机电职业技术学院,电气自动化技术,电工技术类,430




云南机电职业技术学院,供用电技术,电工技术类,425



云南机电职业技术学院,建筑电气工程技术,电工技术类,425














云南机电职业技术学院,无人机应用技术,电工技术类,420

云南机电职业技术学院,应用电子技术,电工技术类,415
云南机电职业技术学院,智能控制技术,电工技术类,425





















云南林业职业技术学院,无人机应用技术,电工技术类,345





























云南水利水电职业学院,分布式发电与智能微电网技术,电工技术类,370




云南水利水电职业学院,工业机器人技术,电工技术类,365
云南水利水电职业学院,输配电工程技术,电工技术类,360

云南水利水电职业学院,供用电技术,电工技术类,300
云南水利水电职业学院,电气自动化技术,电工技术类,370
云南水利水电职业学院,发电厂及电力系统,电工技术类,360
云南水利水电职业学院,电力系统自动化技术,电工技术类,370
云南水利水电职业学院,智能控制技术,电工技术类,365















































昆明工业职业技术学院,电气自动化技术,电工技术类,355
昆明工业职业技术学院,智能控制技术,电工技术类,345

昆明工业职业技术学院,电力系统自动化技术,电工技术类,350
昆明工业职业技术学院,供用电技术,电工技术类,345
昆明工业职业技术学院,工业机器人技术,电工技术类,340
























































昆明铁道职业技术学院,工程测量技术,电工技术类,435


昆明铁道职业技术学院,铁道信号自动控制,电工技术类,430






























































云南三鑫职业技术学院,供用电技术,电工技术类,175






云南三鑫职业技术学院,光伏工程技术,电工技术类,175











































































云南城市建设职业学院,工程测量技术,电工技术类,175































































云南外事外语职业学院,光伏工程技术,电工技术类,175






云南工程职业学院,电气自动化技术,电工技术类,175
云南工程职业学院,机电一体化技术,电工技术类,175














云南工程职业学院,工业机器人技术,电工技术类,175

云南理工职业学院,光伏工程技术,电工技术类,175
云南理工职业学院,风力发电工程技术,电工技术类,175










