2026云南省职教高考招生院校、专业及专业大类,,,





院校,专业,专业大类,分数
云南国防工业职业技术学院,电子商务,经济管理类,390
云南国防工业职业技术学院,现代物流管理,经济管理类,395
云南国防工业职业技术学院,大数据与审计,经济管理类,400






















































昆明冶金高等专科学校,连锁经营与管理,经济管理类,395
昆明冶金高等专科学校,市场营销,经济管理类,395
昆明冶金高等专科学校,电子商务,经济管理类,400
昆明冶金高等专科学校,跨境电子商务,经济管理类,405
昆明冶金高等专科学校,物流工程技术,经济管理类,400
昆明冶金高等专科学校,现代物流管理,经济管理类,405

昆明冶金高等专科学校,大数据与会计(中外合作办学)中加),经济管理类,360


























































丽江师范学院,电子商务,经济管理类,455







临沧职业学院,跨境电子商务,经济管理类,360

















































































云南交通运输职业学院,港口物流管理,经济管理类,370


















云南交通运输职业学院,现代家政服务与管理,经济管理类,375


































云南交通职业技术学院,现代物流管理,经济管理类,400



云南交通职业技术学院,大数据与会计,经济管理类,395
云南交通职业技术学院,网络营销与直播电商,经济管理类,400
云南交通职业技术学院,人力资源管理,经济管理类,405











































云南现代职业技术学院,大数据与会计,经济管理类,380


























云南能源职业技术学院,大数据与财务管理,经济管理类,370
云南能源职业技术学院,大数据与会计,经济管理类,375
云南能源职业技术学院,市场营销,经济管理类,365
云南能源职业技术学院,现代物流管理,经济管理类,385















云南能源职业技术学院,电子商务,经济管理类,370


















云南轻纺职业学院,大数据与财务管理,经济管理类,360
云南轻纺职业学院,大数据与会计,经济管理类,365
云南轻纺职业学院,电子商务,经济管理类,370

云南轻纺职业学院,业财数据应用与管理,经济管理类,360













云南锡业职业技术学院,大数据与财务管理,经济管理类,350


云南锡业职业技术学院,现代物流管理,经济管理类,355
云南锡业职业技术学院,法律事务,经济管理类,360












保山职业学院,跨境电子商务,经济管理类,350
保山职业学院,农村电子商务,经济管理类,345

























德宏职业学院,财税大数据应用,经济管理类,345
德宏职业学院,大数据与会计,经济管理类,350
德宏职业学院,电子商务,经济管理类,340
德宏职业学院,跨境电子商务,经济管理类,350






































昭通职业学院,供应链运营,经济管理类,330




昭通职业学院,大数据与财务管理,经济管理类,335
昭通职业学院,网络营销与直播电商,经济管理类,340


曲靖职业技术学院,电子商务,经济管理类,365


































玉溪农业职业技术学院,大数据与财务管理,经济管理类,375
玉溪农业职业技术学院,大数据与会计,经济管理类,370
玉溪农业职业技术学院,市场营销,经济管理类,365
玉溪农业职业技术学院,电子商务,经济管理类,370
玉溪农业职业技术学院,现代物流管理,经济管理类,365












玉溪职业技术学院,财税大数据应用,经济管理类,360












红河职业技术学院,跨境电子商务,经济管理类,355













红河职业技术学院,大数据与会计(会计),经济管理类,350

















西双版纳职业技术学院,行政管理,经济管理类,340

西双版纳职业技术学院,大数据与会计,经济管理类,345
西双版纳职业技术学院,国际经济与贸易,经济管理类,330









西双版纳职业技术学院,跨境电子商务,经济管理类,330
西双版纳职业技术学院,现代物流管理,经济管理类,335































云南农业职业技术学院,供应链运营,经济管理类,350









云南农业职业技术学院,市场营销,经济管理类,355


云南农业职业技术学院,行政管理,经济管理类,355


















云南国土资源职业学院,全媒体广告策划与营销,经济管理类,385

云南国土资源职业学院,统计与会计核算,经济管理类,380
云南国土资源职业学院,市场营销,经济管理类,375
云南国土资源职业学院,跨境电子商务,经济管理类,385




























云南旅游职业学院,大数据与会计,经济管理类,360
云南旅游职业学院,大数据与财务管理,经济管理类,365
云南旅游职业学院,大数据与会计,经济管理类,370
