2026云南省职教高考招生院校、专业及专业大类,,,














































































院校,专业,专业大类,分数
昆明冶金高等专科学校,环境艺术设计(室内环境设计),艺术类,88
昆明冶金高等专科学校,环境艺术设计(室外环境设计),艺术类,89
昆明冶金高等专科学校,环境艺术设计(装饰艺术设计),艺术类,90
昆明冶金高等专科学校,视觉传达设计,艺术类,90
昆明冶金高等专科学校,工艺美术品设计,艺术类,87
昆明冶金高等专科学校,产品艺术设计,艺术类,86





























云南工贸职业技术学院,工艺美术品设计,艺术类,82










丽江师范学院,美术学,艺术类,95






丽江师范学院,新闻采编与制作,艺术类,96
临沧职业学院,民族表演艺术,艺术类,82


















































香格里拉职业学院,民族表演艺术,艺术类,83















































































































丽江职业技术学院,产品艺术设计,艺术类,85
















云南现代职业技术学院,书画艺术,艺术类,85
云南现代职业技术学院,广告艺术设计,艺术类,86
云南现代职业技术学院,影视多媒体技术,艺术类,87






















































云南轻纺职业学院,服装设计与工艺,艺术类,85








云南轻纺职业学院,视觉传达设计,艺术类,84
云南轻纺职业学院,广告艺术设计,艺术类,83
云南轻纺职业学院,工艺美术品设计,艺术类,84
云南轻纺职业学院,数字媒体艺术设计,艺术类,84
























云南锡业职业技术学院,工艺美术品设计,艺术类,83
云南锡业职业技术学院,数字媒体艺术设计,艺术类,84



















































德宏职业学院,室内艺术设计,艺术类,83
德宏职业学院,服装设计与工艺,艺术类,84





怒江职业技术学院,表演艺术,艺术类,82































昭通职业学院,艺术设计,艺术类,83




曲靖职业技术学院,陶瓷设计与工艺,艺术类,82






































































红河职业技术学院,美容美体艺术,艺术类,82
红河职业技术学院,书画艺术,艺术类,82




红河职业技术学院,陶瓷设计与工艺(紫陶),艺术类,83


红河职业技术学院,雕塑设计,艺术类,83
红河职业技术学院,舞蹈表演,艺术类,84










西双版纳职业技术学院,艺术设计,艺术类,85




































云南体育运动职业技术学院,新闻采编与制作,艺术类,88
















































