2026云南省职教高考招生院校、专业及专业大类,,,






















院校,专业,专业大类,分数
大理护理职业学院,中药学,药学类,385








大理护理职业学院,药学,药学类,390



































































云南工贸职业技术学院,药品生产技术,药学类,375
云南工贸职业技术学院,中药材生产与加工,药学类,370





































临沧职业学院,药学,药学类,365











红河卫生职业学院,药学,药学类,425
红河卫生职业学院,中药学,药学类,415
红河卫生职业学院,药品经营与管理,药学类,400
红河卫生职业学院,药品生产技术,药学类,405









楚雄医药高等专科学校,药学,药学类,440
楚雄医药高等专科学校,药品经营与管理,药学类,435
楚雄医药高等专科学校,药品生产技术,药学类,430







楚雄医药高等专科学校,保健食品质量与管理,药学类,425





















昭通卫生职业学院,药学,药学类,425
昭通卫生职业学院,中药学,药学类,420
昭通卫生职业学院,药品质量与安全,药学类,415





昭通卫生职业学院,药品经营与管理,药学类,420







































保山中医药高等专科学校,中药学,药学类,435
保山中医药高等专科学校,药学,药学类,430


























































云南现代职业技术学院,药品生产技术,药学类,380
云南现代职业技术学院,药品经营与管理,药学类,375











































































































云南锡业职业技术学院,药品经营与管理,药学类,365























德宏职业学院,智能医疗装备技术,药学类,360
德宏职业学院,药学,药学类,355










































文山职业技术学院,中药材生产与加工,药学类,355








































玉溪农业职业技术学院,药品生产技术,药学类,365
玉溪农业职业技术学院,药品质量与安全,药学类,370
玉溪农业职业技术学院,药品经营与管理,药学类,375
玉溪农业职业技术学院,药学,药学类,380
玉溪农业职业技术学院,中药学,药学类,380
玉溪农业职业技术学院,中药材生产与加工,药学类,375































玉溪职业技术学院,生物制药技术,药学类,370

























































西双版纳职业技术学院,药学,药学类,390
西双版纳职业技术学院,中药学,药学类,390








































云南农业职业技术学院,药品经营与管理,药学类,385
云南农业职业技术学院,药品生产技术,药学类,380













































































































