2026云南省职教高考招生院校、专业及专业大类,,,













院校,专业,专业大类,分数
云南国防工业职业技术学院,现代通信技术,计算机信息类,440
云南国防工业职业技术学院,智能光电技术应用,计算机信息类,445










































昆明冶金高等专科学校,大数据技术,计算机信息类,460
昆明冶金高等专科学校,现代通信技术,计算机信息类,455
昆明冶金高等专科学校,信息安全技术应用,计算机信息类,455
昆明冶金高等专科学校,计算机网络技术,计算机信息类,465
昆明冶金高等专科学校,物联网应用技术,计算机信息类,450




























云南工贸职业技术学院,软件技术,计算机信息类,385
云南工贸职业技术学院,信息安全技术应用,计算机信息类,380
云南工贸职业技术学院,数字媒体技术,计算机信息类,385
云南工贸职业技术学院,云计算技术应用,计算机信息类,380
云南工贸职业技术学院,现代通信技术,计算机信息类,385
云南工贸职业技术学院,智能互联网络技术,计算机信息类,375





















云南工业信息职业学院,计算机网络技术,计算机信息类,390












































































































云南交通运输职业学院,软件技术,计算机信息类,360

云南交通运输职业学院,大数据技术,计算机信息类,365

































云南交通职业技术学院,工业互联网应用,计算机信息类,445




云南交通职业技术学院,大数据技术,计算机信息类,450
云南交通职业技术学院,物联网应用技术,计算机信息类,440
云南交通职业技术学院,现代通信技术,计算机信息类,450

云南交通职业技术学院,嵌入式技术应用,计算机信息类,445













丽江职业技术学院,物联网应用技术,计算机信息类,375






































































云南能源职业技术学院,广告艺术设计,计算机信息类,385



云南能源职业技术学院,信息安全技术应用,计算机信息类,390
云南能源职业技术学院,移动应用开发,计算机信息类,395
云南能源职业技术学院,物联网应用技术,计算机信息类,370
云南能源职业技术学院,计算机应用技术,计算机信息类,375
云南能源职业技术学院,计算机网络技术,计算机信息类,385
云南能源职业技术学院,软件技术,计算机信息类,370
云南能源职业技术学院,数字媒体技术,计算机信息类,370
云南能源职业技术学院,大数据技术,计算机信息类,365















云南轻纺职业学院,信息安全技术应用,计算机信息类,375
云南轻纺职业学院,现代移动通信技术,计算机信息类,360
云南轻纺职业学院,人工智能技术应用,计算机信息类,365
云南轻纺职业学院,云计算技术应用,计算机信息类,355





云南轻纺职业学院,大数据技术,计算机信息类,360





































保山职业学院,现代通信技术,计算机信息类,330


























德宏职业学院,计算机应用技术,计算机信息类,340
德宏职业学院,大数据技术,计算机信息类,345












文山职业技术学院,人工智能技术应用,计算机信息类,330










