2026云南省职教高考招生院校、专业及专业大类,,,




































院校,专业,专业大类,分数
昆明冶金高等专科学校,矿山智能开采技术,资源环境类,325
昆明冶金高等专科学校,矿物加工技术,资源环境类,320
昆明冶金高等专科学校,工程地质勘查,资源环境类,305
昆明冶金高等专科学校,测绘工程技术(中白合作办学)(中白),资源环境类,280































昆明冶金高等专科学校,宝玉石鉴定与加工,资源环境类,310
昆明冶金高等专科学校,测绘地理信息技术,资源环境类,325
昆明冶金高等专科学校,摄影测量与遥感技术,资源环境类,320
昆明冶金高等专科学校,无人机应用技术,资源环境类,330























云南工贸职业技术学院,水环境智能监测与治理,资源环境类,270











云南工贸职业技术学院,环境艺术设计,资源环境类,265















































































































































云南交通职业技术学院,测绘工程技术,资源环境类,305

云南交通职业技术学院,安全技术与管理,资源环境类,300






























































云南现代职业技术学院,消防救援技术,资源环境类,255



云南能源职业技术学院,环境地质工程,资源环境类,290


云南能源职业技术学院,煤矿智能开采技术,资源环境类,305
云南能源职业技术学院,环境监测技术,资源环境类,285
云南能源职业技术学院,安全技术与管理,资源环境类,280


云南能源职业技术学院,无人机测绘技术,资源环境类,275














































































云南锡业职业技术学院,安全技术与管理,资源环境类,260



云南锡业职业技术学院,矿山智能开采技术,资源环境类,255
云南锡业职业技术学院,矿物加工技术,资源环境类,250













保山职业学院,安全技术与管理,资源环境类,240


















德宏职业学院,宝玉石鉴定与加工,资源环境类,245




















































































玉溪农业职业技术学院,环境艺术设计,资源环境类,240

































红河职业技术学院,生态农业技术,资源环境类,230

红河职业技术学院,应急救援技术(消防),资源环境类,235



















红河职业技术学院,生态环境修复技术,资源环境类,225













































云南农业职业技术学院,测绘地理信息技术,资源环境类,230






云南农业职业技术学院,环境艺术设计,资源环境类,235


















云南国土资源职业学院,地籍测绘与土地管理,资源环境类,320
云南国土资源职业学院,国土空间规划与测绘,资源环境类,315
云南国土资源职业学院,导航与位置服务,资源环境类,300
